YEAR	indstr	pop	pct	chgfrmFirst	stateName	stateAbbr	maxInd
2010	Arts, food, and other services	24698422	0.149011866	0.035675208	National		
2011	Arts, food, and other services	25027381	0.15079498	0.037458322	National		
2012	Arts, food, and other services	25361103	0.152477411	0.039140753	National		
2013	Arts, food, and other services	25536571	0.153275493	0.039938836	National		
2014	Arts, food, and other services	25733439	0.153750619	0.040413962	National		
2015	Arts, food, and other services	25582282	0.152124719	0.038788061	National		
1940	Construction	3983435	0.083695366	0	National		
1950	Construction	1193365	0.05915561	-0.024539756	National		
1960	Construction	4526640	0.058708771	-0.024986595	National		
1970	Construction	10780400	0.057940512	-0.025754854	National		
1980	Construction	7272400	0.063297904	-0.020397462	National		
1990	Construction	8898864	0.066059797	-0.01763557	National		
2000	Construction	10864959	0.070780839	-0.012914527	National		
2001	Construction	10684638	0.070330344	-0.013365022	National		
2002	Construction	10998199	0.071053537	-0.012641829	National		
2003	Construction	11528477	0.074055631	-0.009639735	National		
2004	Construction	11875042	0.07533567	-0.008359696	National		
2005	Construction	12474315	0.078029718	-0.005665648	National		
2006	Construction	13351477	0.081091015	-0.002604352	National		
2007	Construction	13311067	0.080463269	-0.003232098	National		
2008	Construction	12932200	0.077870965	-0.005824401	National		
2009	Construction	12530585	0.07542099	-0.008274377	National		
2010	Construction	11716088	0.070686141	-0.013009225	National		
2011	Construction	11248238	0.067772885	-0.015922481	National		
2012	Construction	11169473	0.067153717	-0.016541649	National		
2013	Construction	10944958	0.065693778	-0.018001588	National		
2014	Construction	11008348	0.065772022	-0.017923344	National		
2015	Construction	11193538	0.066562233	-0.017133133	National		
1940	Educational services and public administration	3305528	0.069451962	0	National		
1950	Educational services and public administration	2389845	0.118465633	0.049013671	National		
1960	Educational services and public administration	8924380	0.115745759	0.046293797	National		
1970	Educational services and public administration	22653300	0.121752791	0.052300829	National		
1980	Educational services and public administration	15850820	0.137963215	0.068511253	National		
1990	Educational services and public administration	16905759	0.125498154	0.056046192	National		
2000	Educational services and public administration	23075216	0.150325753	0.080873791	National		
2001	Educational services and public administration	22796896	0.150057825	0.080605863	National		
2002	Educational services and public administration	23845531	0.154053343	0.084601381	National		
2003	Educational services and public administration	20656922	0.132694145	0.063242183	National		
2004	Educational services and public administration	21013740	0.13331188	0.063859918	National		
2005	Educational services and public administration	21263797	0.133009956	0.063557994	National		
2006	Educational services and public administration	21687960	0.131723155	0.062271193	National		
2007	Educational services and public administration	21929574	0.132560763	0.063108801	National		
2008	Educational services and public administration	22181526	0.133565583	0.064113621	National		
2009	Educational services and public administration	22373580	0.134665504	0.065213542	National		
2010	Educational services and public administration	23227395	0.140136786	0.070684824	National		
2011	Educational services and public administration	23089944	0.139121534	0.069669572	National		
2012	Educational services and public administration	22880185	0.1375615	0.068109538	National		
2013	Educational services and public administration	22707328	0.136293824	0.066841862	National		
2014	Educational services and public administration	22736108	0.135842344	0.066390382	National		
2015	Educational services and public administration	22677236	0.134849899	0.065397937	National		
1940	Health care and social services	999236	0.0209948	0	National		
1950	Health care and social services	926854	0.045944547	0.024949746	National		
1960	Health care and social services	4059020	0.052643921	0.03164912	National		
1970	Health care and social services	11769700	0.063257619	0.042262819	National		
1980	Health care and social services	9809920	0.085384106	0.064389306	National		
1990	Health care and social services	13745284	0.102036694	0.081041894	National		
2000	Health care and social services	13987583	0.091123479	0.070128678	National		
2001	Health care and social services	14194957	0.093436597	0.072441796	National		
2002	Health care and social services	14732388	0.095178154	0.074183353	National		
2003	Health care and social services	18535702	0.119068036	0.098073235	National		
2004	Health care and social services	18523462	0.117513472	0.096518672	National		
2005	Health care and social services	19099183	0.119469796	0.098474996	National		
2006	Health care and social services	19693085	0.11960716	0.098612359	National		
2007	Health care and social services	20026395	0.121056351	0.100061551	National		
2008	Health care and social services	20424040	0.122982919	0.101988119	National		
2009	Health care and social services	20923054	0.125934858	0.104940057	National		
2010	Health care and social services	21402767	0.12912834	0.10813354	National		
2011	Health care and social services	21894330	0.131917721	0.11092292	National		
2012	Health care and social services	22111252	0.132938479	0.111943679	National		
2013	Health care and social services	22187615	0.133174404	0.112179604	National		
2014	Health care and social services	22499644	0.134429533	0.113434733	National		
2015	Health care and social services	22666351	0.134785172	0.113790371	National		
1940	Information, financial activities, and real estate	2070558	0.043504189	0	National		
1950	Information, financial activities, and real estate	1014476	0.050288007	0.006783818	National		
1960	Information, financial activities, and real estate	4819840	0.062511462	0.019007273	National		
1970	Information, financial activities, and real estate	12606300	0.067754023	0.024249834	National		
1980	Information, financial activities, and real estate	9055700	0.078819486	0.035315297	National		
1990	Information, financial activities, and real estate	14657291	0.108806884	0.065302695	National		
2000	Information, financial activities, and real estate	14692730	0.095717228	0.052213039	National		
2001	Information, financial activities, and real estate	14672911	0.096582671	0.053078482	National		
2002	Information, financial activities, and real estate	14882242	0.096146281	0.052642092	National		
2003	Information, financial activities, and real estate	14714770	0.094523464	0.051019275	National		
2004	Information, financial activities, and real estate	14794628	0.093857623	0.050353433	National		
2005	Information, financial activities, and real estate	15048108	0.094129387	0.050625198	National		
2006	Information, financial activities, and real estate	15335374	0.093140335	0.049636145	National		
2007	Information, financial activities, and real estate	15316095	0.092583342	0.049079153	National		
2008	Information, financial activities, and real estate	14941968	0.08997274	0.046468551	National		
2009	Information, financial activities, and real estate	14527508	0.087440373	0.043936184	National		
2010	Information, financial activities, and real estate	13959045	0.084218471	0.040714282	National		
2011	Information, financial activities, and real estate	13717477	0.082650545	0.039146355	National		
2012	Information, financial activities, and real estate	13695406	0.082340269	0.03883608	National		
2013	Information, financial activities, and real estate	13790751	0.082774785	0.039270595	National		
2014	Information, financial activities, and real estate	13867786	0.082856422	0.039352233	National		
2015	Information, financial activities, and real estate	13863563	0.082439503	0.038935314	National		
1940	Manufacturing	11158925	0.23445853	0	National		
1950	Manufacturing	4931116	0.244437517	0.009978987	National		
1960	Manufacturing	21115380	0.273858317	0.039399788	National		
1970	Manufacturing	47810300	0.256962009	0.022503479	National		
1980	Manufacturing	25794840	0.224514508	-0.009944022	National		
1990	Manufacturing	21527820	0.159809545	-0.074648984	National		
2000	Manufacturing	22089368	0.14390335	-0.09055518	National		
2001	Manufacturing	21318071	0.140323638	-0.094134892	National		
2002	Manufacturing	20769889	0.134183249	-0.100275281	National		
2003	Manufacturing	19688859	0.126475586	-0.107982944	National		
2004	Manufacturing	19384864	0.122978236	-0.111480294	National		
2005	Manufacturing	19379784	0.12122502	-0.11323351	National		
2006	Manufacturing	19157503	0.11635427	-0.11810426	National		
2007	Manufacturing	18793302	0.113602501	-0.120856028	National		
2008	Manufacturing	18636791	0.112221038	-0.122237492	National		
2009	Manufacturing	17986964	0.108262673	-0.126195857	National		
2010	Manufacturing	17553904	0.10590717	-0.128551359	National		
2011	Manufacturing	17358887	0.104590769	-0.129867761	National		
2012	Manufacturing	17308131	0.104060892	-0.130397638	National		
2013	Manufacturing	17356645	0.104177978	-0.130280552	National		
2014	Manufacturing	17110191	0.10222895	-0.132229579	National		
2015	Manufacturing	17139892	0.101922153	-0.132536377	National		
1940	Professional, management, and administrative services	587964	0.012353625	0	National		
1950	Professional, management, and administrative services	320084	0.0158667	0.003513075	National		
1960	Professional, management, and administrative services	1845240	0.02393205	0.011578425	National		
1970	Professional, management, and administrative services	7948200	0.042718524	0.030364899	National		
1980	Professional, management, and administrative services	5100100	0.044390523	0.032036898	National		
1990	Professional, management, and administrative services	9388178	0.069692168	0.057338543	National		
2000	Professional, management, and administrative services	14378423	0.093669644	0.081316019	National		
2001	Professional, management, and administrative services	14841687	0.097693619	0.085339994	National		
2002	Professional, management, and administrative services	15048255	0.097218803	0.084865178	National		
2003	Professional, management, and administrative services	15440427	0.099184876	0.086831251	National		
2004	Professional, management, and administrative services	15479494	0.098202436	0.085848811	National		
2005	Professional, management, and administrative services	15919466	0.099579933	0.087226308	National		
2006	Professional, management, and administrative services	16769220	0.101848886	0.089495261	National		
2007	Professional, management, and administrative services	17141836	0.103619654	0.091266029	National		
2008	Professional, management, and administrative services	17487708	0.105301859	0.092948234	National		
2009	Professional, management, and administrative services	17883967	0.107642739	0.095289114	National		
2010	Professional, management, and administrative services	17767681	0.107196941	0.094843316	National		
2011	Professional, management, and administrative services	18043845	0.108717778	0.096364153	National		
2012	Professional, management, and administrative services	18410680	0.110689698	0.098336073	National		
2013	Professional, management, and administrative services	18561119	0.111407466	0.099053841	National		
2014	Professional, management, and administrative services	18785095	0.112236067	0.099882442	National		
2015	Professional, management, and administrative services	19093431	0.113538848	0.101185223	National		
1940	Trade	7851324	0.164963012	0	National		
1950	Trade	3787377	0.187741888	0.022778876	National		
1960	Trade	15223340	0.197440836	0.032477824	National		
1970	Trade	38291800	0.205803726	0.040840713	National		
1980	Trade	23488220	0.204438025	0.039475013	National		
1990	Trade	29049844	0.215648513	0.0506855	National		
2000	Trade	23501670	0.15310393	-0.011859083	National		
2001	Trade	23420662	0.15416369	-0.010799322	National		
2002	Trade	23637956	0.152712311	-0.012250702	National		
2003	Trade	23883552	0.153421091	-0.011541921	National		
2004	Trade	24504076	0.155454691	-0.009508322	National		
2005	Trade	24355933	0.15235198	-0.012611032	National		
2006	Trade	24720910	0.150143963	-0.014819049	National		
2007	Trade	24351185	0.147199014	-0.017763998	National		
2008	Trade	24561218	0.147894848	-0.017068164	National		
2009	Trade	24330090	0.146441644	-0.018521368	National		
2010	Trade	24392013	0.147163222	-0.01779979	National		
2011	Trade	24352482	0.146728578	-0.018234434	National		
2012	Trade	24143367	0.145156072	-0.01980694	National		
2013	Trade	24220645	0.145377048	-0.019585964	National		
2014	Trade	24151696	0.144300115	-0.020662897	National		
2015	Trade	24214149	0.143989133	-0.020973879	National		
1940	Transportation and utilities	3190222	0.067029285	0	National		
1950	Transportation and utilities	1507869	0.074745707	0.007716423	National		
1960	Transportation and utilities	4692600	0.060861208	-0.006168076	National		
1970	Transportation and utilities	10819200	0.058149047	-0.008880238	National		
1980	Transportation and utilities	6433780	0.055998678	-0.011030606	National		
1990	Transportation and utilities	7557177	0.056099922	-0.010929363	National		
2000	Transportation and utilities	7909126	0.051524776	-0.015504509	National		
2001	Transportation and utilities	8071552	0.05313002	-0.013899265	National		
2002	Transportation and utilities	7931333	0.051240141	-0.015789144	National		
2003	Transportation and utilities	7766088	0.049887123	-0.017142162	National		
2004	Transportation and utilities	7863564	0.049886717	-0.017142567	National		
2005	Transportation and utilities	7987867	0.049965951	-0.017063334	National		
2006	Transportation and utilities	8164444	0.049587251	-0.017442033	National		
2007	Transportation and utilities	8417374	0.050881678	-0.016147607	National		
2008	Transportation and utilities	8460172	0.050942744	-0.01608654	National		
2009	Transportation and utilities	8099133	0.048748293	-0.018280992	National		
2010	Transportation and utilities	7920148	0.047784269	-0.019245016	National		
2011	Transportation and utilities	8037697	0.048428733	-0.018600551	National		
2012	Transportation and utilities	7967527	0.047902802	-0.019126483	National		
2013	Transportation and utilities	7969402	0.047833909	-0.019195375	National		
2014	Transportation and utilities	8116528	0.048494148	-0.018535136	National		
2015	Transportation and utilities	8416555	0.050048939	-0.016980346	National		
1940	Agriculture and mining	352327	0.383828161	0	Alabama	AL	1
1940	Arts, food, and other services	113777	0.123949674	0	Alabama	AL	
1940	Construction	70164	0.076437284	0	Alabama	AL	
1940	Educational services and public administration	48190	0.052498614	0	Alabama	AL	
1940	Health care and social services	10951	0.011930117	0	Alabama	AL	
1940	Information, financial activities, and real estate	19312	0.021038664	0	Alabama	AL	
1940	Manufacturing	165531	0.180330941	0	Alabama	AL	
1940	Professional, management, and administrative services	4064	0.004427358	0	Alabama	AL	
1940	Trade	89615	0.097627376	0	Alabama	AL	
1940	Transportation and utilities	43998	0.047931812	0	Alabama	AL	
1950	Agriculture and mining	70009	0.221210752	-0.162617409	Alabama	AL	1
1950	Arts, food, and other services	38675	0.122203229	-0.001746445	Alabama	AL	
1950	Construction	15442	0.048792819	-0.027644466	Alabama	AL	
1950	Educational services and public administration	34665	0.109532642	0.057034028	Alabama	AL	
1950	Health care and social services	9495	0.030001801	0.018071685	Alabama	AL	
1950	Information, financial activities, and real estate	10632	0.033594434	0.01255577	Alabama	AL	
1950	Manufacturing	64259	0.203042205	0.022711264	Alabama	AL	
1950	Professional, management, and administrative services	1960	0.006193105	0.001765747	Alabama	AL	
1950	Trade	49317	0.15582926	0.058201884	Alabama	AL	
1950	Transportation and utilities	22027	0.069599755	0.021667943	Alabama	AL	
1960	Agriculture and mining	154360	0.118396024	-0.265432137	Alabama	AL	
1960	Arts, food, and other services	158840	0.121832239	-0.002117435	Alabama	AL	
1960	Construction	84460	0.064781862	-0.011655423	Alabama	AL	
1960	Educational services and public administration	150820	0.1156808	0.063182186	Alabama	AL	
1960	Health care and social services	52460	0.040237467	0.02830735	Alabama	AL	
1960	Information, financial activities, and real estate	57300	0.043949807	0.022911143	Alabama	AL	
1960	Manufacturing	329820	0.252976008	0.072645067	Alabama	AL	1
1960	Professional, management, and administrative services	16040	0.012302878	0.00787552	Alabama	AL	
1960	Trade	232800	0.178560471	0.080933095	Alabama	AL	
1960	Transportation and utilities	66860	0.051282445	0.003350633	Alabama	AL	
1970	Agriculture and mining	157500	0.053796496	-0.330031665	Alabama	AL	
1970	Arts, food, and other services	301900	0.103118489	-0.020831185	Alabama	AL	
1970	Construction	188000	0.06421423	-0.012223055	Alabama	AL	
1970	Educational services and public administration	360200	0.123031731	0.070533118	Alabama	AL	
1970	Health care and social services	159700	0.054547939	0.042617822	Alabama	AL	
1970	Information, financial activities, and real estate	153500	0.052430235	0.031391571	Alabama	AL	
1970	Manufacturing	799100	0.272944632	0.092613692	Alabama	AL	1
1970	Professional, management, and administrative services	81800	0.027940021	0.023512664	Alabama	AL	
1970	Trade	567700	0.19390648	0.096279103	Alabama	AL	
1970	Transportation and utilities	158300	0.054069748	0.006137936	Alabama	AL	
1980	Agriculture and mining	78560	0.042649294	-0.341178867	Alabama	AL	
1980	Arts, food, and other services	119360	0.064799131	-0.059150542	Alabama	AL	
1980	Construction	130120	0.070640608	-0.005796676	Alabama	AL	
1980	Educational services and public administration	258400	0.140282302	0.087783688	Alabama	AL	
1980	Health care and social services	148080	0.08039088	0.068460763	Alabama	AL	
1980	Information, financial activities, and real estate	115680	0.062801303	0.041762639	Alabama	AL	
1980	Manufacturing	469080	0.254657981	0.07432704	Alabama	AL	1
1980	Professional, management, and administrative services	57000	0.030944625	0.026517268	Alabama	AL	
1980	Trade	370140	0.200944625	0.103317249	Alabama	AL	
1980	Transportation and utilities	95580	0.051889251	0.003957439	Alabama	AL	
1990	Agriculture and mining	58092	0.027941164	-0.355886997	Alabama	AL	
1990	Arts, food, and other services	133413	0.064169155	-0.059780518	Alabama	AL	
1990	Construction	151767	0.072997086	-0.003440199	Alabama	AL	
1990	Educational services and public administration	264876	0.127400397	0.074901784	Alabama	AL	
1990	Health care and social services	199163	0.095793674	0.083863558	Alabama	AL	
1990	Information, financial activities, and real estate	163573	0.078675551	0.057636887	Alabama	AL	
1990	Manufacturing	443251	0.213195433	0.032864492	Alabama	AL	1
1990	Professional, management, and administrative services	108537	0.052204265	0.047776907	Alabama	AL	
1990	Trade	441933	0.2125615	0.114934123	Alabama	AL	
1990	Transportation and utilities	114478	0.055061775	0.007129963	Alabama	AL	
2000	Agriculture and mining	45912	0.019650442	-0.364177719	Alabama	AL	
2000	Arts, food, and other services	278596	0.119239731	-0.004709943	Alabama	AL	
2000	Construction	176896	0.075711896	-0.000725388	Alabama	AL	
2000	Educational services and public administration	344287	0.147355631	0.094857017	Alabama	AL	
2000	Health care and social services	219188	0.09381297	0.081882853	Alabama	AL	
2000	Information, financial activities, and real estate	176958	0.075738432	0.054699768	Alabama	AL	
2000	Manufacturing	440011	0.188325724	0.007994783	Alabama	AL	1
2000	Professional, management, and administrative services	164319	0.070328911	0.065901554	Alabama	AL	
2000	Trade	369173	0.158006896	0.06037952	Alabama	AL	
2000	Transportation and utilities	121096	0.051829368	0.003897556	Alabama	AL	
2001	Agriculture and mining	43486	0.018838581	-0.36498958	Alabama	AL	
2001	Arts, food, and other services	288844	0.12513018	0.001180506	Alabama	AL	
2001	Construction	176756	0.07657251	0.000135226	Alabama	AL	
2001	Educational services and public administration	337795	0.146336254	0.093837641	Alabama	AL	
2001	Health care and social services	230291	0.09976442	0.087834304	Alabama	AL	
2001	Information, financial activities, and real estate	173169	0.075018585	0.053979921	Alabama	AL	
2001	Manufacturing	385004	0.166787677	-0.013543264	Alabama	AL	1
2001	Professional, management, and administrative services	178816	0.077464923	0.073037565	Alabama	AL	
2001	Trade	376371	0.163047773	0.065420396	Alabama	AL	
2001	Transportation and utilities	117816	0.051039098	0.003107286	Alabama	AL	
2002	Agriculture and mining	53472	0.022785525	-0.361042636	Alabama	AL	
2002	Arts, food, and other services	283177	0.120667578	-0.003282096	Alabama	AL	
2002	Construction	185717	0.079137856	0.002700571	Alabama	AL	
2002	Educational services and public administration	344698	0.146882949	0.094384335	Alabama	AL	
2002	Health care and social services	225404	0.096049307	0.084119191	Alabama	AL	
2002	Information, financial activities, and real estate	169849	0.072376173	0.051337508	Alabama	AL	
2002	Manufacturing	374395	0.159537455	-0.020793486	Alabama	AL	
2002	Professional, management, and administrative services	192735	0.082128371	0.077701013	Alabama	AL	
2002	Trade	389544	0.165992757	0.06836538	Alabama	AL	1
2002	Transportation and utilities	127762	0.054442031	0.00651022	Alabama	AL	
2003	Agriculture and mining	49207	0.020905123	-0.362923038	Alabama	AL	
2003	Arts, food, and other services	298514	0.126820813	0.002871139	Alabama	AL	
2003	Construction	176876	0.075144074	-0.00129321	Alabama	AL	
2003	Educational services and public administration	299802	0.127368007	0.074869394	Alabama	AL	
2003	Health care and social services	287801	0.122269498	0.110339381	Alabama	AL	
2003	Information, financial activities, and real estate	171124	0.072700392	0.051661728	Alabama	AL	
2003	Manufacturing	377133	0.160221342	-0.020109599	Alabama	AL	
2003	Professional, management, and administrative services	180065	0.07649889	0.072071532	Alabama	AL	
2003	Trade	387625	0.164678768	0.067051391	Alabama	AL	1
2003	Transportation and utilities	125678	0.053393094	0.005461283	Alabama	AL	
2004	Agriculture and mining	43470	0.018346401	-0.36548176	Alabama	AL	
2004	Arts, food, and other services	309459	0.130606372	0.006656699	Alabama	AL	
2004	Construction	175798	0.074195092	-0.002242192	Alabama	AL	
2004	Educational services and public administration	314355	0.132672717	0.080174103	Alabama	AL	
2004	Health care and social services	303358	0.128031461	0.116101345	Alabama	AL	
2004	Information, financial activities, and real estate	169984	0.071741309	0.050702644	Alabama	AL	
2004	Manufacturing	349154	0.147359545	-0.032971396	Alabama	AL	
2004	Professional, management, and administrative services	194618	0.082138025	0.077710667	Alabama	AL	
2004	Trade	381139	0.160858731	0.063231355	Alabama	AL	1
2004	Transportation and utilities	128067	0.054050347	0.006118535	Alabama	AL	
2005	Agriculture and mining	44877	0.018744432	-0.365083729	Alabama	AL	
2005	Arts, food, and other services	304758	0.127292723	0.003343049	Alabama	AL	
2005	Construction	185453	0.077460862	0.001023578	Alabama	AL	
2005	Educational services and public administration	301521	0.125940678	0.073442064	Alabama	AL	
2005	Health care and social services	291410	0.121717469	0.109787352	Alabama	AL	
2005	Information, financial activities, and real estate	186011	0.07769393	0.056655266	Alabama	AL	
2005	Manufacturing	377320	0.157600753	-0.022730188	Alabama	AL	
2005	Professional, management, and administrative services	182291	0.076140143	0.071712786	Alabama	AL	
2005	Trade	401969	0.167896261	0.070268884	Alabama	AL	1
2005	Transportation and utilities	118541	0.04951275	0.001580938	Alabama	AL	
2006	Agriculture and mining	38447	0.015876149	-0.367952012	Alabama	AL	
2006	Arts, food, and other services	320644	0.132405439	0.008455765	Alabama	AL	
2006	Construction	201338	0.083139701	0.006702416	Alabama	AL	
2006	Educational services and public administration	314345	0.129804355	0.077305741	Alabama	AL	
2006	Health care and social services	277125	0.114434879	0.102504762	Alabama	AL	
2006	Information, financial activities, and real estate	177873	0.073450158	0.052411494	Alabama	AL	
2006	Manufacturing	369972	0.152774744	-0.027556197	Alabama	AL	
2006	Professional, management, and administrative services	199080	0.082207291	0.077779934	Alabama	AL	
2006	Trade	394303	0.162821889	0.065194512	Alabama	AL	1
2006	Transportation and utilities	128556	0.053085396	0.005153584	Alabama	AL	
2007	Agriculture and mining	48996	0.020189675	-0.363638486	Alabama	AL	
2007	Arts, food, and other services	314193	0.129468824	0.00551915	Alabama	AL	
2007	Construction	208562	0.085941688	0.009504404	Alabama	AL	
2007	Educational services and public administration	324739	0.133814491	0.081315878	Alabama	AL	
2007	Health care and social services	282763	0.116517533	0.104587416	Alabama	AL	
2007	Information, financial activities, and real estate	174868	0.072057475	0.051018811	Alabama	AL	
2007	Manufacturing	361556	0.148985592	-0.031345349	Alabama	AL	
2007	Professional, management, and administrative services	209621	0.086378068	0.08195071	Alabama	AL	
2007	Trade	373022	0.153710362	0.056082985	Alabama	AL	1
2007	Transportation and utilities	128465	0.052936292	0.005004481	Alabama	AL	
2008	Agriculture and mining	38031	0.01550938	-0.368318781	Alabama	AL	
2008	Arts, food, and other services	336213	0.13711065	0.013160976	Alabama	AL	
2008	Construction	204645	0.08345605	0.007018766	Alabama	AL	
2008	Educational services and public administration	332917	0.135766512	0.083267898	Alabama	AL	
2008	Health care and social services	282911	0.11537362	0.103443504	Alabama	AL	
2008	Information, financial activities, and real estate	174847	0.071304161	0.050265496	Alabama	AL	
2008	Manufacturing	370603	0.151135197	-0.029195743	Alabama	AL	
2008	Professional, management, and administrative services	202070	0.082405942	0.077978584	Alabama	AL	
2008	Trade	379427	0.154733703	0.057106326	Alabama	AL	1
2008	Transportation and utilities	130465	0.053204787	0.005272975	Alabama	AL	
2009	Agriculture and mining	41723	0.017088357	-0.366739804	Alabama	AL	
2009	Arts, food, and other services	353585	0.144816686	0.020867012	Alabama	AL	
2009	Construction	194774	0.079772969	0.003335685	Alabama	AL	
2009	Educational services and public administration	328292	0.134457512	0.081958899	Alabama	AL	
2009	Health care and social services	287370	0.117697219	0.105767102	Alabama	AL	
2009	Information, financial activities, and real estate	175510	0.071883074	0.050844409	Alabama	AL	
2009	Manufacturing	347657	0.142388774	-0.037942167	Alabama	AL	
2009	Professional, management, and administrative services	214483	0.087845122	0.083417764	Alabama	AL	
2009	Trade	374875	0.153536364	0.055908987	Alabama	AL	1
2009	Transportation and utilities	123335	0.050513925	0.002582113	Alabama	AL	
2010	Agriculture and mining	43590	0.017788533	-0.366039628	Alabama	AL	
2010	Arts, food, and other services	359848	0.146849463	0.022899789	Alabama	AL	
2010	Construction	197619	0.080645839	0.004208555	Alabama	AL	
2010	Educational services and public administration	330617	0.134920658	0.082422044	Alabama	AL	
2010	Health care and social services	288387	0.117687123	0.105757007	Alabama	AL	
2010	Information, financial activities, and real estate	171654	0.070049848	0.049011184	Alabama	AL	
2010	Manufacturing	339028	0.138353081	-0.041977859	Alabama	AL	
2010	Professional, management, and administrative services	225719	0.092113097	0.08768574	Alabama	AL	
2010	Trade	378618	0.154509265	0.056881888	Alabama	AL	1
2010	Transportation and utilities	115375	0.047083093	-0.000848719	Alabama	AL	
2011	Agriculture and mining	46806	0.019184257	-0.364643904	Alabama	AL	
2011	Arts, food, and other services	359465	0.147333013	0.023383339	Alabama	AL	
2011	Construction	172048	0.07051688	-0.005920405	Alabama	AL	
2011	Educational services and public administration	350765	0.143767166	0.091268552	Alabama	AL	
2011	Health care and social services	310930	0.127440095	0.115509978	Alabama	AL	
2011	Information, financial activities, and real estate	164691	0.067501485	0.046462821	Alabama	AL	
2011	Manufacturing	329593	0.135089452	-0.045241489	Alabama	AL	
2011	Professional, management, and administrative services	229872	0.094217057	0.089789699	Alabama	AL	
2011	Trade	359693	0.147426463	0.049799086	Alabama	AL	1
2011	Transportation and utilities	115950	0.047524134	-0.000407678	Alabama	AL	
2012	Agriculture and mining	39264	0.016210599	-0.367617562	Alabama	AL	
2012	Arts, food, and other services	363790	0.150194933	0.026245259	Alabama	AL	
2012	Construction	175219	0.072341202	-0.004096082	Alabama	AL	
2012	Educational services and public administration	333348	0.137626599	0.085127985	Alabama	AL	
2012	Health care and social services	299148	0.123506731	0.111576615	Alabama	AL	
2012	Information, financial activities, and real estate	163213	0.067384385	0.046345721	Alabama	AL	
2012	Manufacturing	322724	0.133240357	-0.047090584	Alabama	AL	
2012	Professional, management, and administrative services	228328	0.09426787	0.089840513	Alabama	AL	
2012	Trade	366612	0.151360028	0.053732652	Alabama	AL	1
2012	Transportation and utilities	130473	0.053867296	0.005935484	Alabama	AL	
2013	Agriculture and mining	40524	0.016803851	-0.36702431	Alabama	AL	
2013	Arts, food, and other services	358323	0.148583715	0.024634041	Alabama	AL	1
2013	Construction	167471	0.069444226	-0.006993059	Alabama	AL	
2013	Educational services and public administration	343942	0.142620429	0.090121815	Alabama	AL	
2013	Health care and social services	314054	0.130226946	0.118296829	Alabama	AL	
2013	Information, financial activities, and real estate	151522	0.062830747	0.041792082	Alabama	AL	
2013	Manufacturing	348591	0.144548203	-0.035782738	Alabama	AL	
2013	Professional, management, and administrative services	218689	0.090682496	0.086255138	Alabama	AL	
2013	Trade	353172	0.146447779	0.048820403	Alabama	AL	
2013	Transportation and utilities	115302	0.04781161	-0.000120202	Alabama	AL	
2014	Agriculture and mining	44755	0.018734588	-0.365093573	Alabama	AL	
